date,age,n
2019-12-08 - 2019-12-31,0 - 15,0
2019-12-08 - 2019-12-31,15 - 45,12
2019-12-08 - 2019-12-31,45 - 65,24
2019-12-08 - 2019-12-31,65 - 100,11
2020-01-01 - 2020-01-11,0 - 15,0
2020-01-01 - 2020-01-11,15 - 45,39
2020-01-01 - 2020-01-11,45 - 65,106
2020-01-01 - 2020-01-11,65 - 100,103
2020-01-12 - 2020-01-22,0 - 15,0
2020-01-12 - 2020-01-22,15 - 45,33
2020-01-12 - 2020-01-22,45 - 65,49
2020-01-12 - 2020-01-22,65 - 100,48
2019-12-08 - 2020-02-11,0 - 10,78
2019-12-08 - 2020-02-11,10 - 20,78
2019-12-08 - 2020-02-11,20 - 30,880
2019-12-08 - 2020-02-11,30 - 40,2562
2019-12-08 - 2020-02-11,40 - 50,3051
2019-12-08 - 2020-02-11,50 - 60,4303
2019-12-08 - 2020-02-11,60 - 70,5183
2019-12-08 - 2020-02-11,70 - 80,2464
2019-12-08 - 2020-02-11,80 - 100,978